公告,#genre#
NBTV2,http://125.123.123.125:4022/rtp/233.50.201.178:5140
NBTV2,http://115.203.246.67:58888/rtp/233.50.201.178:5140
NBTV2,http://125.123.146.241:4022/rtp/233.50.201.178:5140
NBTV3,http://125.123.123.125:4022/rtp/233.50.201.179:5140
NBTV3,http://115.203.246.67:58888/rtp/233.50.201.179:5140
NBTV3,http://125.123.146.241:4022/rtp/233.50.201.179:5140
NBTV4,http://125.123.123.125:4022/rtp/233.50.201.180:5140
NBTV4,http://115.203.246.67:58888/rtp/233.50.201.180:5140
NBTV4,http://125.123.146.241:4022/rtp/233.50.201.180:5140
温州新闻综合,http://125.123.123.125:4022/rtp/233.50.201.87:5140
温州新闻综合,http://115.203.246.67:58888/rtp/233.50.201.87:5140
温州新闻综合,http://125.123.146.241:4022/rtp/233.50.201.87:5140
绍兴新闻综合,http://125.123.123.125:4022/rtp/233.50.201.156:5140
绍兴新闻综合,http://115.203.246.67:58888/rtp/233.50.201.156:5140
绍兴新闻综合,http://125.123.146.241:4022/rtp/233.50.201.156:5140
衢州新闻综合,http://125.123.123.125:4022/rtp/233.50.202.11:5140
衢州新闻综合,http://115.203.246.67:58888/rtp/233.50.202.11:5140
衢州新闻综合,http://125.123.146.241:4022/rtp/233.50.202.11:5140
衢州公共,http://125.123.123.125:4022/rtp/233.50.202.12:5140
衢州公共,http://115.203.246.67:58888/rtp/233.50.202.12:5140
衢州公共,http://125.123.146.241:4022/rtp/233.50.202.12:5140
凤凰中文,http://125.123.123.125:4022/rtp/233.50.200.42:5140
凤凰中文,http://115.203.246.67:58888/rtp/233.50.200.42:5140
凤凰中文,http://125.123.146.241:4022/rtp/233.50.200.42:5140
凤凰资讯,http://125.123.123.125:4022/rtp/233.50.200.192:5140
凤凰资讯,http://115.203.246.67:58888/rtp/233.50.200.192:5140
凤凰资讯,http://125.123.146.241:4022/rtp/233.50.200.192:5140
天津卫视,http://125.123.123.125:4022/rtp/233.50.200.104:5140
天津卫视,http://115.203.246.67:58888/rtp/233.50.200.104:5140
天津卫视,http://125.123.146.241:4022/rtp/233.50.200.104:5140
河北卫视,http://125.123.123.125:4022/rtp/233.50.200.105:5140
河北卫视,http://115.203.246.67:58888/rtp/233.50.200.105:5140
河北卫视,http://125.123.146.241:4022/rtp/233.50.200.105:5140
安徽卫视,http://125.123.123.125:4022/rtp/233.50.200.106:5140
安徽卫视,http://115.203.246.67:58888/rtp/233.50.200.106:5140
安徽卫视,http://125.123.146.241:4022/rtp/233.50.200.106:5140
重庆卫视,http://125.123.123.125:4022/rtp/233.50.200.114:5140
重庆卫视,http://115.203.246.67:58888/rtp/233.50.200.114:5140
重庆卫视,http://125.123.146.241:4022/rtp/233.50.200.114:5140
云南卫视,http://125.123.123.125:4022/rtp/233.50.200.115:5140
云南卫视,http://115.203.246.67:58888/rtp/233.50.200.115:5140
云南卫视,http://125.123.146.241:4022/rtp/233.50.200.115:5140
四川卫视,http://125.123.123.125:4022/rtp/233.50.200.118:5140
四川卫视,http://115.203.246.67:58888/rtp/233.50.200.118:5140
四川卫视,http://125.123.146.241:4022/rtp/233.50.200.118:5140
江西卫视,http://125.123.123.125:4022/rtp/233.50.200.119:5140
江西卫视,http://115.203.246.67:58888/rtp/233.50.200.119:5140
江西卫视,http://125.123.146.241:4022/rtp/233.50.200.119:5140
江苏卫视,http://125.123.123.125:4022/rtp/233.50.200.144:5140
江苏卫视,http://115.203.246.67:58888/rtp/233.50.200.144:5140
江苏卫视,http://125.123.146.241:4022/rtp/233.50.200.144:5140
湖北卫视,http://125.123.123.125:4022/rtp/233.50.200.147:5140
